,stallName,region,postalCode,locationName,images,,stallNumber,deliveryAvailable,contact,foodTheyServe,favorites,dietaryRestrictions,priceRange,nameOfHawker,moreAboutThisHawker,openingHours,whatAreTheConcernsThisHawkerIsFacing,recommendedBy,,,,,
5/24/2021 0:50:24,Jin Ji Fish Soup Ban Mian,Central,270020,Ghim Moh Market and Hawker Centre,https://drive.google.com/drive/folders/14Fx-zEd9Th_Ktwb1dJZo55KfoRXIhM8P,,#01-13,,,Ban Mian and Fish Soup,You Mian Dry,,$3 - $5,,"Relatively new stall but does some delicious ban mian. Soup is super flavourful and free-flow spring onions also helps. The owner is a nice and generous guy and I used to always eat ban mian as a post-workout meal. Highly reccommend the dry you mian with their chilli, does not dissapoint.",11am - 8.45pm,,Darren,,,,,
5/24/2021 0:58:38,Jin Hua Mixed Veg Rice,Central,270020,Ghim Moh Market and Hawker Centre,https://drive.google.com/drive/folders/15sgxGBcPBrvf4XQJeI8Hiy6qUr_pIALq,,#01-57,,,Economical Rice Cai Fan,"Cabbage, Minced Pork",,$3 - $5,,"Good and cheap cai fan. Very home-cooked style, run by uncle and auntie and their son. Somedays their dishes can be amazing when the chef feels like it. A staple in Ghim Moh market, would recommend it for the unique taste profile",9.30am - 7.30pm. Rest day random,,Darren,,,,,
5/24/2021 1:01:40,House of Prawn,Central,270020,Ghim Moh Market and Hawker Centre,https://drive.google.com/drive/folders/1__kn4eFISnn8QL4nZYcvJRHYLv-UMO6H,,#01-62,,,Prawn Noodles,Dry Prawn Noodles ,,$3 - $5,,"Took over from the previous prawn noodle recently, run by 2 aunties who know how to make a mean prawn noodle. The soup is super flavourful and the noodles tasty and springy. Small option is also at $3, so many people are lined up for breakfast, lunch and dinner! ",,,Darren,,,,,
5/24/2021 1:06:38,HuaLe Curry Rice,Central,270020,Ghim Moh Market and Hawker Centre,https://drive.google.com/drive/folders/1ArQIaPdSewgxbBWGY9oMcWJ2W7sQI40K,,#01-03,,,Curry Rice,"Bitter gourd with egg, Fried Cutlet",,$3 - $5,,"Not your typical Hainan Curry Rice stall, flavours are quite unique and more chinese influenced(?) The family that runs this business are friendly and pleasant to interact with. Sometimes you even get extra at the end of the day. Highly recommend the bitter gourd with egg, stir-fried to perfection",,,Darren,,,,,
,Uncle Mak Cafe,Central,150085,Redhill Food Centre,https://drive.google.com/drive/folders/1fcGzqYa6YDh3uTc5OhCxBc42q5ukfk3B,,#01-93,"Grab, Foodpanda",62453777,Drink Stall,"Teh C, Teh Siew Dai",,$2 - $5,Maks,"Run by a cute, bubbly elderly couple. Tea is milky and definitely satisftying. Auntie is camera shy but Uncle Mak very cheerful and funny.
They also sell toasts and eggs sets and a kaya drink that looks interesting. Will go back to try!","Mon-Fri 6am - 9pm
Weekends 6am - 2pm",,Darren,,,,,
,Rong Xing La Mian Xiao Long Bao,Central,150085,Redhill Food Centre,https://drive.google.com/drive/folders/1JX31Z2n2W6n4anQJyCTubioLUjS83KtI,,#01-77,Deliveroo,,"La Mian, Xiao Long Bao","Zha Jiang Mian, Jiao Zi",,$4 - $6,,Decent la mian with chewy texture and guo tie was nice crispy on the outside and juicy on the inside!,"12am - 2.30pm
5pm - 9pm",,Darren,,,,,
,Hock Shun Traditional Homemade Curry,Central,150085,Redhill Food Centre,https://drive.google.com/drive/folders/1I-_Bw0jHGYxf_KvjvkRrS-dxYqLWCKxP,,#01-66,Foodpanda,91458876,Curry,Curry Chicken Thigh with Vegetable,,$5 - $8,Ah Mei,Traditional home-made curry that is thick and tasty. Coconut flavour just right.,10am - 10pm. Closed Mon and Thurs,"Business hit during 2ha, less people dabaoing",,,,,,
,Ah Liong's Ultimate Kampong Chicken Rice,Central,150085,Redhill Food Centre,https://drive.google.com/drive/folders/1XVXzRG-NLBKKlaXJHKQw3jda4TvgCdJq,,#01-65,Foodpanda,,Chicken Rice and Curry Chicken Noodles,Curry Chicken Noodles,,$2 - $4,,Run by bubbly husband wife pair. They just moved down from Serangoon about 4 months ago. Chicken was tender and curry flavour on the mild side. Definitely can eat!,,,,,,,,
5/26/2021 11:08:38,Yuan Li Hainanese Chicken Rice ,Central,151115,"115, Bukit Merah View Hawker Centre ",https://drive.google.com/drive/folders/1q-_7WhxrB_H75AD0eoRYSprNjN-dPcQU,,#01-18,,One old couple , Chicken Rice,Chicken Rice ,,$3 - $5,,,Closed on Monday ,"Not on delivery platform, no ppl buy. ",,,,,,
,Ji Xiang Ru Yi Vegetarian,Central,150085,Redhill Food Centre,https://drive.google.com/drive/folders/1bTkOLM8Onr1yJCL9kiVfI9Redvj-bQbC,,#01-31,No,97124621,Vegetarian mee and bee hoon,,Vegetarian,$3 - $5,,,7am - 12pm,,,,,,,
,Lu Xiang Vegetarian,Central,150085,Redhill Food Centre,https://drive.google.com/drive/folders/1tTHkyD9-X3HWiQqkQMYRzDJLxAIEiwn_,,#01-96,No,,"Vegetarian wanton mee, chicken rice, fried mee, economical rice",,Vegetarian,$3 - $5,,,7am - 1.30pm,,happycow,,,,,
,Ru Yi Yuan Vegetarian,Central,150080,80 Eating House Redhill,https://drive.google.com/drive/folders/1y6sSHgISQEwJKt4YKSsbafl8aAZTab0J,,,,,,,,,,,,,,,,,,
,915 Prawn Noodle,East,S520827,827 Tampines Street 81,https://drive.google.com/drive/folders/1QY8pjK1nCJnYb-YD9GYTnHERPeAuY_GE,,,No,,Prawn Noodles,Prawn Noodles,,,,,,,,,Prawn Noodles,,,Prawn Noodles
,85 Bedok North Fried Oyster (乡村古早蚝煎),East,S460085,Bedok 85 Fengshan Market & Food Centre,https://drive.google.com/drive/folders/1SN5eRCPB8KZcTjzI0fgT1qtNcjfsQh-L,Blk 85 Bedok North Street 4,#01-05,No,,"Carrot Cake, Bak Chor Mee, Ngo Hiang","Carrot Cake, Bak Chor Mee, Ngo Hiang",,,,,Open daily 11.30am-11pm. Closed on alternate Tuesdays,,,,Carrot Cake,Bak Chor Mee,Ngo Hiang,"Carrot Cake, Bak Chor Mee, Ngo Hiang"
,Ah Meng,Central,S051531,Hong Lim Market & Food Centre,https://drive.google.com/drive/folders/19eCvKK-HmOPQYu6vRWMFlwUCkahjsxaZ,531A Upper Cross St,#02-45,No,,"sweet potato ondeh ondeh, gula melaka tapioca kueh","sweet potato ondeh ondeh, gula melaka tapioca kueh",,,,,"Open Tues-Sat, 8.30am-6.30pm, Sun 8.30am-4pm",,,,sweet potato ondeh ondeh,gula melaka tapioca kueh,,"sweet potato ondeh ondeh, gula melaka tapioca kueh"
,Kaya Kaya,Central,S051531,Hong Lim Market & Food Centre,https://drive.google.com/drive/folders/1uYfvxFZm3S4ryLWHzIc35NZbnkpVAAre,,#01-71,No,,"Drinks, Breakfast Toast",Teh Peng No.1,,,,,"Open daily 8am-5pm except Sat, 8am-5.30pm",,,,Teh Peng No.1,,,Teh Peng No.1
,Ming Kee Porridge,West,120726,West Coast Market,https://drive.google.com/drive/folders/1h4nknw9XpsSMBhn0BNnwiZFGsmgI3sTj,Blk 726 Clementi West Street 2 ,#01-164,No,97637173,"Sliced Fish Congee, Pork Ball Congee, Cuttlefish Congee","Sliced Fish Congee, Pork Ball Congee, Cuttlefish Congee",,,,,"Tue- Sun- 5-10am, Mon - Rest.",,,,Sliced Fish Congee,Pork Ball Congee,Cuttlefish Congee,"Sliced Fish Congee, Pork Ball Congee, Cuttlefish Congee"
,Kampung Western Food,North-East,530121,121 Hougang Avenue 1,https://drive.google.com/drive/folders/1dm6hQb74eeI1UdLBOJvxFo9HNqnsDX_W,,,No,-,"Chicken Cutlet, Fried Spring Chicken, Lamb Chop","Chicken Cutlet, Fried Spring Chicken, Lamb Chop",,,,,-,,,,Chicken Cutlet,Fried Spring Chicken,Lamb Chop,"Chicken Cutlet, Fried Spring Chicken, Lamb Chop"
,阿妹手工面 Ah Mei Handmade Noodles,Central,169982,Beo Crescent Market & Food Centre,https://drive.google.com/drive/folders/1RMXrLLXmUFYn3OIynfMbtNWscq43ApcG,38A Beo Cres,#01-71,No,-,"Handmade noodles 幼面, banmian","Handmade noodles 幼面, banmian",,,,,"5.30am - 3.30pm, Mondays-Sundays (Daily)",,,,Handmade noodles 幼面,banmian,,"Handmade noodles 幼面, banmian"
,Adam BBQ,Central,289876,Adam Road Food Centre,https://drive.google.com/drive/folders/1tHRP7Sz1k_1GABlvLtinzCbaN78YIeOD,,#01-18 ,No,-,"Sambal Stingray, BBQ Leatherjacket Fish, Sambal Kangkong","Sambal Stingray, BBQ Leatherjacket Fish, Sambal Kangkong",,,,,-,,,,Sambal Stingray,BBQ Leatherjacket Fish,Sambal Kangkong,"Sambal Stingray, BBQ Leatherjacket Fish, Sambal Kangkong"
,Lao Fu Zhi Cooked Food,West,600254,Yuhua Village Market & Food Centre,https://drive.google.com/drive/folders/1d5RW-KwObwhYhj8exagBV7oJTLnNgcH5,Blk 254 Jurong East St 24 . ,#01-21,No,98437483/ 97924900,"Lor Mee, Yong Tau Foo","Lor Mee, Yong Tau Foo",,,,,7am. Closed on Tue and Wed and Chinese calendar 1st and 15th.,,,,Lor Mee,Yong Tau Foo,,"Lor Mee, Yong Tau Foo"
,Tian Seng Fried Prawn Mee,East,370079,Circuit Road Food Centre Blk 79,https://drive.google.com/drive/folders/1z84E4c7rg5FrauG0z2JYOfZjVv5p1J9F,79 Circuit Rd,#01-10,No,,Fried Hokkien Mee,Fried Hokkien Mee,,,,,,,,,Fried Hokkien Mee,,,Fried Hokkien Mee
,Xin Kee Hainanese Chicken Rice,Central,380017,Upper Boon Keng Market Hawker Center,https://drive.google.com/drive/folders/1x-J6fZ8e02eFx5219gtDvaqzJQnDKVa2,17 Upper Boon Keng Rd,#01-20,No,9772 2580,"Steamed Chicken Rice, Roasted Chicken Rice, Char Siew Rice","Steamed Chicken Rice, Roasted Chicken Rice, Char Siew Rice",,,,,Closed on Tues,,,,Steamed Chicken Rice,Roasted Chicken Rice,Char Siew Rice,"Steamed Chicken Rice, Roasted Chicken Rice, Char Siew Rice"
,Punggol Noodles,North-East,530105,"Lorong Ah Soo, Hougang Hainanese Village Centre ",https://drive.google.com/drive/folders/1zvlAKlGRCYZxHSzHGXtfjTaOM_0Vba1w,105 Hougang Ave 1,#02-24,No,9722 5590,Bak Chor Mee,Bak Chor Mee,,,,,8:00am - 3:00pm (Mon & Fri off),,,,Bak Chor Mee,,,Bak Chor Mee
,Tian Huat,North-East,530209,Kovan 209 Market & Food Centre,https://drive.google.com/drive/folders/1HjGSwBBO6YWgeCRPZotHf7rwHMHtnSh2,,#01-07 ,No,-,"Lor Mee, Mushroom shredded chicken mee","Lor Mee, Mushroom shredded chicken mee",,,,,7am onwards,,,,Lor Mee,Mushroom shredded chicken mee,,"Lor Mee, Mushroom shredded chicken mee"
,Handmade Teochew Kuey,Central,090011,Telok Blangah Blk 11 Crescent Market & Food Centre,https://drive.google.com/drive/folders/1M1OI5p591QA6eZ9BtSdCVwr04AfZW4MJ,,#01-130,No,,"Ku cai kueh, Peng kueh, Soon kueh","Ku cai kueh, Peng kueh, Soon kueh",,,,,Morning until 8 p.m.?,,,,Ku cai kueh,Peng kueh,Soon kueh,"Ku cai kueh, Peng kueh, Soon kueh"
,Fa Zhan Fish Ball Noodles,Central,574370,246B Upper Thomson Road,https://drive.google.com/drive/folders/1vMj0X1eI85FJxv5qOPypBxz8f5ZvXiE4,,,No,86563243,"Fried Carrot Cake, Fishball noodles, Minced Meat Noodles, Prawn Noodles, , Fu Zhou fish ball noodles, Laksa, Char Kuay Teow, Xiao Wan Mian","Fried Carrot Cake, Fishball noodles, Minced Meat Noodles, Prawn Noodles, , Fu Zhou fish ball noodles, Laksa, Char Kuay Teow, Xiao Wan Mian",,,,,-,,,,Fried Carrot Cake,"Fishball noodles, Minced Meat Noodles, Prawn Noodles, , Fu Zhou fish ball noodles, Laksa, Char Kuay Teow",Xiao Wan Mian,"Fried Carrot Cake, Fishball noodles, Minced Meat Noodles, Prawn Noodles, , Fu Zhou fish ball noodles, Laksa, Char Kuay Teow, Xiao Wan Mian"
,Da Lao Fried White Kway Teow,Central,310210,Lorong 8 Toa Payoh Market & Food Centre,https://drive.google.com/drive/folders/1rrkdfPekrtJy4f9qkjo8y5bFHDyzyIyR,Blk 210 Lor 8 Toa Payoh,#01-23,WhyQ,-,"Fried oyster eggs, Fried Kway Tiao","Fried oyster eggs, Fried Kway Tiao",,,,,-,,,,Fried oyster eggs,Fried Kway Tiao,,"Fried oyster eggs, Fried Kway Tiao"
,Hai Chua Minced Meat Fishball Noodles 海泉鱼圆肉脞面,West,641221,Boon Lay Market & Food Village,https://drive.google.com/drive/folders/1ath0Fnung5H1l4na8Yaya8I6hfpw0yRh, 221A Boon Lay Place ,#01-110,No,-,Fishball Noodles,Fishball Noodles,,,,,"Breakfast  0530hrs to 1230hrs (estimated) Dinner 1700hrs to 2100hrs (estimated) *OFF EVERY WEDNESDAY (unless falls on PH, stall will open and rest another day)*",,,,Fishball Noodles,,,Fishball Noodles
,Seow Choon Hua Restaurant,Central,198481,33 Sultan Gate,https://drive.google.com/drive/folders/171Z7LG07lTOpVIu1oChOMSC20FlFBp-J,,,No,62982720,"Red fermented mee swa, Fuzhou mixed fishball and dumpling, Fried Rice Cake","Red fermented mee swa, Fuzhou mixed fishball and dumpling, Fried Rice Cake",,,,,-,,,,Red fermented mee swa,Fuzhou mixed fishball and dumpling,Fried Rice Cake,"Red fermented mee swa, Fuzhou mixed fishball and dumpling, Fried Rice Cake"
,Traditional Porridge,Central,160057,57 Eng Hoon Street,https://drive.google.com/drive/folders/1LcczhRqyVj6DB4llXVREag7RxZPOXsAX,,,No,,"Pork porridge, Fish porridge, Mix porridge","Pork porridge, Fish porridge, Mix porridge",,,,,730am-10am,,,,Pork porridge,Fish porridge,Mix porridge,"Pork porridge, Fish porridge, Mix porridge"
,Bedok 539 Kway Chap,East,460539,G Lucky Coffeeshop,https://drive.google.com/drive/folders/19uBbDbZYX5t1Ltlg1n4oM7G9ErPso8BR,539 Bedok North St 3,#01-593,No,-,"Braised Duck Rice, Vinegar Trotters, Mei Cai and Duck Leg Pumpkin Rice","Braised Duck Rice, Vinegar Trotters, Mei Cai and Duck Leg Pumpkin Rice",,,,,0900-1930,,,,Braised Duck Rice,Vinegar Trotters,Mei Cai and Duck Leg Pumpkin Rice,"Braised Duck Rice, Vinegar Trotters, Mei Cai and Duck Leg Pumpkin Rice"
,Hup Seng Heng Vegetarian,West,120726,Blk 726 Clementi West Market & Food Centre,https://drive.google.com/drive/folders/1ZBGOCqQ7mW4M5C2wUpIYYHXGIVuGhaVy,,#01-195,No,-,"Sliced ""Fish"" Bee Hoon Soup, Olive Fried Rice with vegetarian spring roll, Vegetarian Beehoon","Sliced ""Fish"" Bee Hoon Soup, Olive Fried Rice with vegetarian spring roll, Vegetarian Beehoon",Vegetarian,,,,"Tuesday to Sunday: 11am to 10pm, Closed on Monday",,,,"Sliced ""Fish"" Bee Hoon Soup",Olive Fried Rice with vegetarian spring roll,Vegetarian Beehoon,"Sliced ""Fish"" Bee Hoon Soup, Olive Fried Rice with vegetarian spring roll, Vegetarian Beehoon"
,Lian Xiang Shu Shi,North,738620,Marsiling Mall,https://drive.google.com/drive/folders/1ZJGPQEkZYBM_rDn8LmG4bgYrICMcuVKZ,4 Woodlands Street 12,#01-61,No,-,"Fried Kway Teow, Hokkien Prawn Mee","Fried Kway Teow, Hokkien Prawn Mee",,,,,-,,,,Fried Kway Teow,Hokkien Prawn Mee,,"Fried Kway Teow, Hokkien Prawn Mee"
,Ng Soon Kee Fish and Duck Porridge,Central,380117,Aljunied Ave 2 Market & Food Centre,https://drive.google.com/drive/folders/1IC0odfgw7ttIzrYmOys_0EaSvGMrt__J,Blk 117 Aljunied Ave 2,#01-11,No,67476014,"Sliced Fish Soup/ porridge, Fish Head Soup/ porridge, Braised Duck / porridge","Sliced Fish Soup/ porridge, Fish Head Soup/ porridge, Braised Duck / porridge",,,,,From 11am,,,,Sliced Fish Soup/ porridge,Fish Head Soup/ porridge,Braised Duck / porridge,"Sliced Fish Soup/ porridge, Fish Head Soup/ porridge, Braised Duck / porridge"
,New Generation Fried Hokkien Mee,East,460136,Blk 136 Bedok North Ave 3,https://drive.google.com/drive/folders/1oRybtzO5TqjuNexLX2tivDjHIlzOJ_VM,,,No,-,"Fried Oyster, Home Make Fried Carrot Cake (White), Signature Fried Hokkien Mee","Fried Oyster, Home Make Fried Carrot Cake (White), Signature Fried Hokkien Mee",,,,,11.30am-8pm,,,,Fried Oyster,Home Make Fried Carrot Cake (White),Signature Fried Hokkien Mee,"Fried Oyster, Home Make Fried Carrot Cake (White), Signature Fried Hokkien Mee"
,Ho Jiak Rojak,North,760630,Blk 630 Yishun St 61,https://drive.google.com/drive/folders/1yvfqOG66Sgmesl3_Vlle64WRoIwqEdOU,,,,96818399,Rojak,Rojak,,,,,-,,,,Rojak,,,Rojak
,Feng Ji Fried Kway Teow,Central,588177,Beauty World Hawker Centre,https://drive.google.com/drive/folders/1TAW74DJisSHb0Fz1wUCaP6ukAL_Rckst,Blk144 Upper Bukit Timah Rd,#04-45,No,93651232,Fried Kway Teow,Fried Kway Teow,,,,,"Wednesday to Sunday, 1130 am to 7pm",,"Burpple, umakemehungry",,Fried Kway Teow,,,Fried Kway Teow
,Zi Ji Lai Mushroom Meat Noodle 自己来香菇肉脞面 ,North-East,560162,Mayflower Food Centre,https://drive.google.com/drive/folders/1lO0B0XiqT8yqZlKe1LmQXVVJM7inBm4X,Blk 162 Ang Mo Kio Avenue 4.,#01-07,No,No,Bak Chor Mee,Bak Chor Mee,,,,,6am to 1pm,,,,Bak Chor Mee,,,Bak Chor Mee
,Signs A Taste Of Vietnam Pho,Central,238858,Orchard Gateway,https://drive.google.com/drive/folders/19BB4I6CSPainVZJoiL1JFYnD823hi-Dl,277 Orchard Rd,B2-15,No,86854838,"Sliced Beef Ribeye Pho, Pork with Prawn Fresh Spring Roll, Stir Fried Beef Banh Mi","Sliced Beef Ribeye Pho, Pork with Prawn Fresh Spring Roll, Stir Fried Beef Banh Mi",,,,,-,,DanielFoodDiary,,Sliced Beef Ribeye Pho,Pork with Prawn Fresh Spring Roll,Stir Fried Beef Banh Mi,"Sliced Beef Ribeye Pho, Pork with Prawn Fresh Spring Roll, Stir Fried Beef Banh Mi"
,Ding’s Hainanese Chicken Rice,Central,099114,"Seah Im Rd, Block 2",https://drive.google.com/drive/folders/1DPX6B4nT4d22-_ThGcP9JYMn_DBMJMjT,,#01-32,No,,Chicken Rice,,,,,,0800 - 1500 during this phase. 0800 - 1900 after phase.,,,,,,,
,Ho Kee seafood,Central,51531,Hong Lim Complex,https://drive.google.com/drive/folders/1l64_pBduhbpsbB88RqJLrK3AjENkofRS,531A Upper Cross Street,#02-21,No,,"Tzi Char, Thai Food","Tzi Char, Thai Food",,,,,Lunch dinner,,,,Tzi Char,Thai Food,,"Tzi Char, Thai Food"
,Prince Coffee House,Central,189757,249 Beach Rd,https://drive.google.com/drive/folders/1FS2oqzPG4WlOetBDRX8dUU2DBWRk_rEs,,#01-249,No,,Asian-Western Food,,,,,,11am–9:30pm,,,,,,,
,Ren Yi Kitchen,Central,588177,Beauty World Hawker Centre,https://drive.google.com/drive/folders/1KZdWEcbQ2TTiOBhYOGuVHhHrIvUPo93N,Blk144 Upper Bukit Timah Rd,#04-52,"Grab, Foodpanda",97561750,"Spinach Soup Rice/ Noodles, Tom Yam Rice/ Noodles, Bittergourd Rice/ Noodles","Spinach Soup Rice/ Noodles, Tom Yam Rice/ Noodles, Bittergourd Rice/ Noodles",,,,,-,,Hawkerpedia,,Spinach Soup Rice/ Noodles,Tom Yam Rice/ Noodles,Bittergourd Rice/ Noodles,"Spinach Soup Rice/ Noodles, Tom Yam Rice/ Noodles, Bittergourd Rice/ Noodles"
,Handmade Yong Tau Foo,Central,588177,Beauty World Hawker Centre,https://drive.google.com/drive/folders/1YygUQE6J9_Efy-I8NfLOZrxTvRyrUKEX,Blk144 Upper Bukit Timah Rd,#04-59,No,93794865,"Yong Tau Foo Soup, Yong Tau Foo Dry, Tom Yam Yong Tau Foo","Yong Tau Foo Soup, Yong Tau Foo Dry, Tom Yam Yong Tau Foo",,,,,-,,,,Yong Tau Foo Soup,Yong Tau Foo Dry,Tom Yam Yong Tau Foo,"Yong Tau Foo Soup, Yong Tau Foo Dry, Tom Yam Yong Tau Foo"
,Beauty World Niang Re Gao,Central,588177,Beauty World Hawker Centre,https://drive.google.com/drive/folders/1PQL_LJNkXIQHlSxto6gJFP8DVtIPu1EA,Blk144 Upper Bukit Timah Rd,#04-54,No,64669522,"Old School Biscuit, Pineapple Tarts","Old School Biscuit, Pineapple Tarts",,,,,-,,,,Old School Biscuit,Pineapple Tarts,,"Old School Biscuit, Pineapple Tarts"
,Hup Hup Mee Siam,Central,370080,80 Circuit Road ,https://drive.google.com/drive/folders/1dzqheMDCtHJV7br8kJCMmOew9yDzrwBB,80 Circuit Road ,#02-14,"Grab, Direct",8014 9838,Mee Siam,Hup Hup Mee Siam,,,,,6am-2/2:30pm,,,,Hup Hup Mee Siam,,,Hup Hup Mee Siam
,Yi Kang Fish Soup,Central,588177,Beauty World Hawker Centre,https://drive.google.com/drive/folders/1V3BYn3wzMOJEFVG2mbuwO5wQS2NV3zAR,Blk144 Upper Bukit Timah Rd,#04-53,No,98889985,"Fried Fish Beehoon Soup, Fish Porridge, Fried Fish Head Beehoon Soup","Fried Fish Beehoon Soup, Fish Porridge, Fried Fish Head Beehoon Soup",,,,,"Open everyday except Tuesday, 10am to 8pm",,Hawkerpedia,,Fried Fish Beehoon Soup,Fish Porridge,Fried Fish Head Beehoon Soup,"Fried Fish Beehoon Soup, Fish Porridge, Fried Fish Head Beehoon Soup"
,Ye Ri Xiang Xiao Chi,Central,588177,Beauty World Hawker Centre,https://drive.google.com/drive/folders/1qGXpasb-ii_xjCkUTuPtTpsPuW7EYciR,Blk144 Upper Bukit Timah Rd,#04-19,No,-,"Fried Carrot Cake, Fried Oyster Omelet, Rojak","Fried Carrot Cake, Fried Oyster Omelet, Rojak",,,,,"Open everyday, 10am to 3pm",,,,Fried Carrot Cake,Fried Oyster Omelet,Rojak,"Fried Carrot Cake, Fried Oyster Omelet, Rojak"
,Jia Jia Shu Shi,Central,588177,Beauty World Hawker Centre,https://drive.google.com/drive/folders/1opYwpVaukcu4Y7Ih7UrFWAppil_-6rU_,Blk144 Upper Bukit Timah Rd,#04-21,No,-,"Hokkien Mee, Fried Kway Teow","Hokkien Mee, Fried Kway Teow",,,,,"Open everyday, 10am to 4pm",,"Four Square, Umakemehungry",,Hokkien Mee,Fried Kway Teow,,"Hokkien Mee, Fried Kway Teow"
